Marque,Modele,categorie,Volume vendu mensuel Amazon,Lien fabriquant,lien,plateforme d'aff,Prix vente,pourcentage,Commision / Achat,Validation N8N,Indicateuir revenu
Philips Sonicare,Philips Sonicare 4100 Series - Head case,,106846,https://www.usa.philips.com/c-p/HX3681_23/4100-series-sonic-electric-toothbrush,https://amzn.to/41GkEug,Amazon,$55.99,3.00%,$1.68,,"$179,469.23"
Aquasonic,Aquasonic Black Series Ultra Whitening Toothbrush,Best sellers,112714,https://www.aquasonic.com/products/aquasonic-black-series?srsltid=AfmBOoo72VnHYii3DL3VBm231ndlGXJ1vFNTfdN4Dnd44y0_kIkULW0A&view=sl-7645F1DF,https://amzn.to/3PFV8Tm,Amazon,$39.95,3.00%,$1.20,FALSE,"$135,087.73"
Philips Sonicare,Philips Sonicare 4100 Rechargeable,Best sellers,70175,https://www.usa.philips.com/c-p/HX3681_23/4100-series-sonic-electric-toothbrush,https://amzn.to/4dWjTEK,Amazon,$55.99,3.00%,$1.68,FALSE,"$117,872.95"
Philips Sonicare,Philips Sonicare ProtectiveClean 5300,Best sellers / Voyage,30297,https://www.usa.philips.com/c-p/HX6423_34/sonicare-protectiveclean-5300-sonic-electric-toothbrush?srsltid=AfmBOoq51xsvmi4N58jIjskZT80UHyMBWAZMFQ9ge0ONhUXhQLX4LOFO,https://amzn.to/3Qcd2x0,Amazon,$109.96,3.00%,$3.30,FALSE,"$99,943.74"
Philips Sonicare,Philips Sonicare ProtectiveClean 5300,Best sellers / Voyage,30297,https://www.usa.philips.com/c-p/HX6423_34/sonicare-protectiveclean-5300-sonic-electric-toothbrush?srsltid=AfmBOoq51xsvmi4N58jIjskZT80UHyMBWAZMFQ9ge0ONhUXhQLX4LOFO,https://amzn.to/3Qcd2x0,Amazon,$109.96,3.00%,$3.30,FALSE,"$99,943.74"
Philips Sonicare,Philips Sonicare 7300 Series Electric Toothbrush,,15189,https://www.usa.philips.com/c-p/HX9610_17/expertclean-7300-sonic-electric-toothbrush-with-app/support?srsltid=AfmBOoon2JAeBwv6SvB-ERp17rUiELST8CZsIkQ5LC6cNLu17Fs0SeDS,https://amzn.to/4sc30tk,Amazon,$175.23,3.00%,$5.26,FALSE,"$79,847.05"
Philips Sonicare,Philips Sonicare ExpertClean 7500 White,,10567,https://www.usa.philips.com/c-p/HX9690_06/expertclean-7500-sonic-electric-toothbrush-with-app?srsltid=AfmBOoqoDkiDYhd11DKTNaeBbdXRBm2RxgbUyOmQ9UNibd1-hZGF38Lr,https://amzn.to/486baMu,Amazon,$199.99,3.00%,$6.00,FALSE,"$63,398.83"
Oral-B,Oral-B iO 3,,16554,https://www.oralb.fr/fr-fr/product/1249857/oral-b-io-3-noire-brosse-a-dents-electrique-avec-brossette-andplus-2-brossettes,https://amzn.to/4m4jfqR,Amazon,$109.99,3.00%,$3.30,FALSE,"$54,623.23"
Oral-B,Oral-B Pro 1000 ,Best sellers,32656,,https://amzn.to/4m52Q5z,Amazon,$49.94,3.00%,$1.50,FALSE,"$48,925.22"
Philips Sonicare,Philips Sonicare Series 5900 noir,,18252,https://www.usa.philips.com/c-p/HX7131_02/series-5900-rechargeable-toothbrush?srsltid=AfmBOor-J5xuW9MvPhc6qodU-YPFwZt__AYUbTOsZZKrnex5637aj1d2,https://amzn.to/4s5WmEM,Amazon,$79.96,3.00%,$2.40,FALSE,"$43,782.90"
Philips Sonicare,Philips Sonicare DiamondClean Prestige 9900 Rechargeable Electric Toothbrush with SenseIQ,,2930,https://www.usa.philips.com/c-p/HX9990_11/sonicare-9900-prestige-power-toothbrush-with-senseiq?srsltid=AfmBOooyWPOPGQIwHkQ1p8VEHrdYQC3kGDEqrKiNmyQYCDiUXQk02DFd,https://amzn.to/4tgErfv,Amazon,$429.96,3.00%,$12.90,FALSE,"$37,793.48"
Oral-B,Oral-B iO 5,,7675,https://www.oralb.fr/fr-fr/product/1249854/oral-b-io-5-noire-brosse-a-dents-electrique-avec-brossette-andplus-2-brossettes,https://amzn.to/4dW7z7m,Amazon,$149.99,3.00%,$4.50,FALSE,"$34,535.20"
Philips Sonicare,"Philips Sonicare ProtectiveClean 6500 Rechargeable Electric Toothbrush, with Pressure Sensor",,5962,https://www.usa.philips.com/c-p/HX7413_07/series-6500-rechargeable-toothbrush,https://amzn.to/47zRn80,Amazon,$179.96,3.00%,$5.40,FALSE,"$32,187.65"
Oral-B,Oral-B iO 9,,2313,https://www.oralb.fr/fr-fr/product/1247494/oral-b-io-9-noire-brosse-a-dents-electrique-avec-2-brossettes,https://amzn.to/3Og0eFk,Amazon,$379.99,3.00%,$11.40,FALSE,"$26,367.51"
Philips Sonicare,Philips Sonicare 6500 Series Electric Toothbrush,,4901,https://www.usa.philips.com/c-p/HX7413_07/series-6500-rechargeable-toothbrush,https://amzn.to/48oxL75,Amazon,$129.96,3.00%,$3.90,FALSE,"$19,108.02"
